LgaID,RegionID,Lga
1,1,ARMIDALE REGIONAL
2,1,BALLINA
3,1,BELLINGEN
4,1,BYRON
5,1,CLARENCE VALLEY
6,1,COFFS HARBOUR
7,1,GUNNEDAH
8,1,GWYDIR
9,1,HASTINGS
10,1,INVERELL
11,1,KEMPSEY
12,1,KYOGLE
13,1,LISMORE
14,1,LIVERPOOL PLAINS
15,1,NAMBUCCA
16,1,PORT MACQUARIE - HASTINGS
17,1,RICHMOND VALLEY
18,1,SEVERN
19,1,TAMWORTH
20,1,TAMWORTH REGIONAL
21,1,TENTERFIELD
22,1,TWEED
23,1,URALLA
24,1,WALCHA
25,2,ALBURY
26,2,BALRANALD
27,2,BLAND
28,2,CARRATHOOL
29,2,COOLAMON
30,2,COOTAMUNDRA-GUNDAGAI REGIONAL
31,2,EDWARD RIVER
32,2,FEDERATION
33,2,GREATER HUME
34,2,GRIFFITH
35,2,HAY
36,2,HILLTOPS
37,2,JUNEE
38,2,MURRAY RIVER
39,2,MURRUMBIDGEE
40,2,NARRANDERA
41,2,SNOWY VALLEYS
42,2,TEMORA
43,2,WAGGA WAGGA
44,2,WENTWORTH
45,2,YASS VALLEY
46,3,BEGA VALLEY
47,3,EUROBODALLA
48,3,GOULBURN MULWAREE
49,3,GREATER ARGYLE
50,3,KIAMA
51,3,QUEANBEYAN-PALERANG
52,3,SHELLHARBOUR
53,3,SHOALHAVEN
54,3,SNOWY MONARO REGIONAL
55,3,SNOWY VALLEYS
56,3,UPPER LACHLAN
57,3,WINGECARRIBEE
58,3,WOLLONDILLY
59,3,WOLLONGONG
60,3,YASS VALLEY
61,4,HORNSBY
62,5,BLUE MOUNTAINS
63,5,HAWKESBURY
64,5,LIVERPOOL
65,6,BATHURST REGIONAL
66,6,BLAYNEY
67,6,BLUE MOUNTAINS
68,6,BOGAN
69,6,BOURKE
70,6,BREWARRINA
71,6,BROKEN HILL
72,6,CABONNE
73,6,CENTRAL DARLING
74,6,COBAR
75,6,COONABARABRAN
76,6,COONAMBLE
77,6,COWRA
78,6,DUBBO REGIONAL
79,6,FORBES
80,6,GILGANDRA
81,6,GUNNEDAH
82,6,LACHLAN
83,6,LITHGOW
84,6,MID WESTERN REGIONAL
85,6,MOREE PLAINS
86,6,NARRABRI
87,6,NARROMINE
88,6,OBERON
89,6,ORANGE
90,6,PARKES
91,6,UNINCORPORATED NSW
92,6,WALGETT
93,6,WARREN
94,6,WARRUMBUNGLE
95,6,WEDDIN
96,6,WENTWORTH
