SuburbID,LgaID,Suburb,Postcode
1,1,ARMIDALE,2350
2,1,EBOR,2453
3,1,GUYRA,2365
4,1,METZ,2350
5,1,WOLLOMOMBI,2350
6,2,WARDELL,2477
7,3,DORRIGO,2453
8,3,DORRIGO MOUNTAIN,2453
9,3,FERNBROOK,2453
10,3,THORA,2454
11,4,BILLINUDGEL,2483
12,4,SLEEPY HOLLOW,2483
13,4,TYAGARAH,2481
14,5,CLARENZA,2460
15,5,GLENUGIE,2460
16,5,GULMARRAD,2463
17,5,HALFWAY CREEK,2460
18,5,JACKADGERY,2460
19,5,JACKY BULBIN FLAT,2463
20,5,RAMORNIE,2460
21,6,ARRAWARRA,2456
22,6,COFFS HARBOUR,2450
23,7,CARROLL,2340
24,7,GUNNEDAH,2380
25,7,MULLALEY,2379
26,8,BINGARA,2404
27,8,DELUNGRA,2403
28,8,DINOGA,2403
29,8,WARIALDA,2402
30,8,WARIALDA RAIL,2402
31,9,LAKE INNES,2446
32,10,ELSMORE,2360
33,10,INVERELL,2360
34,10,LITTLE PLAIN,2360
35,10,SWAN VALE,2370
36,11,CLYBUCCA,2440
37,11,COOPERABUNG,2441
38,11,SOUTH KEMPSEY,2440
39,12,NEW PARK,2474
40,12,SANDILANDS,2469
41,12,WIANGAREE,2474
42,13,HOWARDS GRASS,2480
43,14,BRAEFIELD,2339
44,14,BREEZA,2381
45,14,WALLABADAH,2343
46,15,EUNGAI CREEK,2441
47,15,VALLA,2448
48,16,COOPERABUNG,2441
49,16,DOYLES RIVER,2446
50,16,MOUNT SEAVIEW,2446
51,16,THRUMSTER,2444
52,17,CASINO,2470
53,17,ELLANGOWAN,2470
54,17,NEW ITALY,2472
55,17,WHIPORIE,2469
56,17,WOODBURN,2472
57,18,GIBRALTAR RANGE,2370
58,18,GLEN INNES,2370
59,18,GLENCOE,2365
60,18,MATHESON,2370
61,18,SHANNON VALE,2370
62,18,YARROWFORD,2370
63,19,ATTUNGA,2345
64,19,BARRABA,2347
65,19,BENDEMEER,2355
66,19,EAST TAMWORTH,2347
67,19,GOONOO GOONOO,2340
68,19,HILLVUE,2340
69,19,KLORI,2346
70,19,KOOTINGAL,2352
71,19,MOONBI,2353
72,19,RED HILL,2347
73,20,WESTDALE,2340
74,21,BOLIVIA,2372
75,21,DRAKE VILLAGE,2469
76,21,SANDY HILL,2372
77,21,TENTERFIELD,2372
78,22,CHINDERAH,2487
79,23,KENTUCKY,2354
80,23,URALLA,2358
81,24,WALCHA,2354
82,25,LAKE HUME VILLAGE,3691
83,26,BALRANALD,2715
84,26,EUSTON,2737
85,26,MALLEE,2738
86,27,BACK CREEK,2390
87,27,BARMEDMAN,2668
88,27,NORTH YALGOGRIN,2671
89,27,RANKINS SPRINGS,2669
90,27,WEST WYALONG,2671
91,27,WYALONG,2671
92,28,GOOLGOWI,2652
93,28,GUNBAR,2711
94,28,HILLSTON,2675
95,28,RANKINS SPRINGS,2669
96,28,WALLANTHERY,2675
97,29,ARIAH PARK,2665
98,29,BECKOM,2665
99,30,COOTAMUNDRA,2590
100,30,SOUTH GUNDAGAI,2722
101,30,TUMBLONG,2729
102,30,WALLENDBEEN,2588
103,31,DENILIQUIN,2710
104,31,WANGANELLA,2710
105,31,WARRAGOON,2710
106,32,COREEN,2646
107,33,CULCAIRN,2660
108,33,GEROGERY,2642
109,33,HENTY,2658
110,33,HOLBROOK,2644
111,33,KYEAMBA,2650
112,33,LITTLE BILLABONG,2644
113,33,MULLENGANDRA,2644
114,33,ROSEWOOD,2652
115,33,WOOMARGAMA,2644
116,34,HANWOOD,2680
117,35,BOOLIGAL,2711
118,35,BOOROORBAN,2710
119,35,HAY,2711
120,35,HAY SOUTH,2711
121,35,MAUDE,2711
122,36,BENDICK MURRELL,2803
123,36,BOOROWA,2586
124,36,YOUNG,2594
125,37,COOTAMUNDRA,2590
126,37,ILLABO,2590
127,38,BALRANALD,2715
128,38,KERI KERI,2711
129,38,MATHOURA,2710
130,38,MOAMA,2731
131,38,YANGA,2711
132,38,CARRATHOOL,2711
133,39,DARLINGTON POINT,2706
134,40,BARELLAN,2665
135,40,EUROLEY,2700
136,41,BATLOW,2730
137,41,JINGELLIC,2642
138,41,LAUREL HILL,2649
139,41,SANDY GULLY,2729
140,41,TALBINGO,2720
141,41,TUMBARUMBA,2653
142,41,YARRANGOBILLY,2720
143,42,GIDGINBUNG,2666
144,42,SPRINGDALE,2666
145,42,TEMORA,2666
146,43,ALFREDTOWN,2650
147,43,BORAMBOLA,2650
148,43,KYEAMBA,2650
149,43,MUNDARLO,2729
150,43,TARCUTTA,2652
151,43,URANQUINTY,2652
152,44,ANABRANCH SOUTH,2648
153,44,CURLWAA,2648
154,44,MALLEE,2738
