rest_area_name,rest_area_number,responsible_authority,,,category,,vehicle_type
Glencoe,1095,RMS,,,INSPECTION BAY,,BOTH LIGHT AND HEAVY VEHICLES
,1040,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Southeast end of Nevertire,1052,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Nancy Coulton Lookout,1148,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Glencoe Northbound,2007,RMS,,,INSPECTION BAY,,BOTH LIGHT AND HEAVY VEHICLES
,942,RMS,,,INSPECTION BAY,,HEAVY VEHICLES ONLY
Bonalbo Road Westbound,614,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Broken Hill Information Bay,254,RMS,,,PARKING AREA,,LIGHT VEHICLES ONLY
Arrawarra,4092,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Mount Seaview,631,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
,1285,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
,1545,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Daroobalgie Site,767,RMS,,,INSPECTION BAY,,HEAVY VEHICLES ONLY
Yarraman Rest Area,1186,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,849,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
ROSES PARK,4002,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
,936,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Halls,913,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Coolabah Northwest,1066,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Emergency Phone Site,1286,RMS,,,PARKING AREA,,LIGHT VEHICLES ONLY
,1358,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Square Bush,1787,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Cudgegong Truck Rest Area,932,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Browntown Oval,952,COUNCIL,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,4001,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
